generation,genome_id,episode,reward,initial_distance,final_distance,avg_distance,distance_improvement,steps,goal_reached,initial_x,initial_z,final_x,final_z,target_x,target_z
0,1,1,-95.06745359995656,2273.0080154215575,4084.3570874206885,3212.027604487887,-1811.349071999131,30,False,-1171.008,0.2647766,-2962.74,-399.8269,1102.0,0.0
0,1,2,-106.00056675873526,2273.003015585632,4303.014350760337,3277.6165717681324,-2030.011335174705,30,False,-1171.003,0.2661811,-3182.399,-399.8221,1102.0,0.0
0,1,3,-101.24767591052658,2273.000015486272,4207.953533696803,3244.847298820177,-1934.953518210531,30,False,-1171.0,0.2653311,-3086.909,-399.8929,1102.0,0.0
0,2,1,1.7304825974081255,2273.0000155732187,2148.390363625056,2151.5669203964517,124.60965194816254,30,False,-1171.0,0.2660749,-1008.574,-401.321,1102.0,0.0
0,2,2,2.1199646568507196,2273.0080153111626,2140.608722174148,2143.9753689423055,132.3992931370144,30,False,-1171.008,0.2638272,-1000.868,-400.1898,1102.0,0.0
0,2,3,1.9502290463489107,2273.0000156427823,2143.995434715804,2156.5218416564962,129.00458092697818,30,False,-1171.0,0.2666685,-1002.503,-409.6139,1102.0,0.0
0,3,1,2.012598428656996,2273.0000157255554,2142.7480471524154,2145.526827798111,130.25196857313995,30,False,-1171.0,0.2673731,-1002.339,-403.8893,1102.0,0.0
0,3,2,2.118170600593952,2273.0050159513635,2140.6416039394844,2146.749116860149,132.36341201187906,30,False,-1171.005,0.2692862,-1000.803,-400.7069,1102.0,0.0
0,3,3,1.989371043516439,2273.0000158165913,2143.2125949462625,2145.45946703833,129.7874208703288,30,False,-1171.0,0.2681459,-1002.867,-403.6027,1102.0,0.0
0,4,1,-102.84199521806538,2273.000015686785,4239.839920048092,3194.0697518498346,-1966.8399043613067,30,False,-1171.0,0.2670433,-3103.695,-537.0029,1102.0,0.0
0,4,2,-98.25070595637368,2273.000015803735,4148.014134931208,3164.3149973579334,-1875.014119127473,30,False,-1171.0,0.2680369,-3027.645,-389.9403,1102.0,0.0
0,4,3,-104.66169730263051,2273.0010152978534,4276.234961350463,3259.0412026027234,-2003.2339460526096,30,False,-1171.001,0.2637121,-3157.48,-378.174,1102.0,0.0
0,5,1,23.808179594713142,2273.00001570091,1724.7964238066472,1813.0622029046908,548.2035918942627,30,False,-1171.0,0.2671635,-563.1732,-449.5786,1102.0,0.0
0,5,2,20.676733254805143,2273.000015824815,1776.9553507287121,1894.0536499844973,496.0446650961028,30,False,-1171.0,0.2682156,-648.1794,-307.3148,1102.0,0.0
0,5,3,22.478379937184872,2273.0000157532577,1740.4474170095602,1850.5509717896507,532.5525987436974,30,False,-1171.0,0.2676085,-611.6647,-304.1554,1102.0,0.0
