#{"t_start": 1760115403.359232, "env_id": "None"}
r,l,t
31.180086,30,11.12867
30.987508,30,22.357963
33.038213,30,33.598874
24.975509,30,44.828053
29.90336,30,55.973936
26.87956,30,67.217957
28.810777,30,78.605675
30.021531,30,89.926577
30.504222,30,101.153319
31.430625,30,112.376369
26.716273,30,123.620626
32.488178,30,134.842797
29.232343,30,146.177443
27.938331,30,157.412023
30.018563,30,168.641083
31.190532,30,179.880383
29.047192,30,190.995496
29.74957,30,202.336305
28.187656,30,213.569078
29.10529,30,224.903796
32.005727,30,235.918715
26.669082,30,247.346498
29.247152,30,258.687714
29.157271,30,269.906881
29.4327,30,281.147804
30.564691,30,292.612901
28.480255,30,304.047814
31.275567,30,315.285425
33.659624,30,326.437523
29.419291,30,337.870584
28.411991,30,348.996813
29.900928,30,360.329025
27.142497,30,371.781191
25.943249,30,382.904273
28.986013,30,394.122461
30.184994,30,405.245866
32.399988,30,416.357358
33.802173,30,427.719734
28.879942,30,439.087744
30.524659,30,450.409169
26.598497,30,461.728545
29.805253,30,472.972176
29.624329,30,484.253488
26.771883,30,495.378953
31.308212,30,506.617148
31.690346,30,518.044377
32.537144,30,529.170568
33.447741,30,540.405225
30.924531,30,551.539369
32.836276,30,562.660671
30.164268,30,573.809218
31.772709,30,585.151569
30.850866,30,596.475166
32.618612,30,607.827998
32.542361,30,618.954144
31.175775,30,630.295835
30.602662,30,641.558721
32.944659,30,652.81971
32.787089,30,664.260289
29.653605,30,675.690516
33.623749,30,686.857509
30.105288,30,698.069869
32.903862,30,709.104097
35.168982,30,720.286883
33.916038,30,731.551089
31.144495,30,742.801568
31.168831,30,754.061595
32.051528,30,765.28417
31.965945,30,776.533476
33.963118,30,787.911891
33.807889,30,799.145228
33.543019,30,810.667816
32.134999,30,821.914464
30.583567,30,833.077821
32.497951,30,844.321337
34.191053,30,855.570286
33.026742,30,866.989252
29.363774,30,878.008918
32.924524,30,889.235185
30.820141,30,900.354856
32.720775,30,911.503136
34.106903,30,923.035609
31.914917,30,934.563975
33.046068,30,945.802581
33.087463,30,957.123526
32.995547,30,968.450587
32.236884,30,979.641354
33.633544,30,991.279807
33.851042,30,1002.627866
34.060473,30,1013.859357
31.660823,30,1024.991839
33.820433,30,1036.210025
32.960272,30,1047.43678
34.427794,30,1058.569615
34.235433,30,1069.728226
34.224325,30,1081.046587
33.103864,30,1092.297143
31.502783,30,1103.575511
30.76248,30,1114.635997
33.712764,30,1125.857655
