episode,total_reward,avg_distance,final_distance,initial_distance,phase
102,29.15618,467.4699051776449,270.3812114675322,608.4477971954741,1
103,29.573366,450.1003688158464,253.71632344247004,597.3437617042676,1
104,27.225458,442.11815529120673,299.1195979700477,598.0984584909576,1
105,33.2712,368.69330516664246,179.95527445167616,592.0930004698672,1
106,31.240833,408.71209503513336,225.1760491381548,595.3343692300615,1
107,30.238049,414.4602913694569,254.90340884068925,602.3657408861749,1
108,33.416042,392.80915345621304,194.1885723975572,598.1582239752678,1
109,29.765089,421.8185931442465,253.55713396322017,585.6383332679544,1
110,31.131723,446.8674841180239,228.16329475268378,590.6209590940952,1
111,31.230831,428.03180129462305,220.20718110281595,617.2976201362472,1
112,44.901764,394.395837305402,144.29393098517892,599.7828427609293,1
113,32.55747,404.43558460300704,189.6823506382818,605.2079742632121,1
114,34.17617,387.83605000118763,164.62511900714935,607.8403819984445,1
115,31.320673,414.95639090087565,224.72010253885074,598.5318817631666,1
116,33.597267,367.09320000593834,193.30261936340025,585.8207427290479,1
117,33.601433,354.07997940082197,195.0056206978915,595.5254020991616,1
118,45.200344,364.11458409559384,144.49277217239236,596.2659025698929,1
119,44.986164,367.93550893840563,147.7799008793299,612.5581456494002,1
120,30.315155,421.7463675817537,243.9614247108308,596.4614651764722,1
121,31.860668,375.7736992445518,233.7167392104059,605.3537414334191,1
122,34.43466,362.7023327519718,178.0616229305631,588.9344893946084,1
123,33.18248,418.61553185968444,196.72917980869028,609.0937517127016,1
124,35.026997,343.49545472809973,158.17985197653053,599.6163177629634,1
125,35.019306,357.86172918362433,156.7726667471405,613.6341540619447,1
126,44.710583,374.26894470650245,141.24257363793004,590.4006315247923,1
127,33.828945,405.31146695261947,181.20954773315995,605.926689092387,1
128,33.60502,364.927407782754,201.5132270761782,584.0333890049757,1
129,34.386997,375.6130437551655,167.95804925186044,596.1595302620174,1
130,34.674175,376.83487086821094,159.99983929714804,589.7687513942107,1
131,34.415432,323.4586886045558,169.31898870029494,603.494688415872,1
132,34.196384,366.4137701034812,179.67532199944367,601.3321243432555,1
133,35.11371,361.0921750005518,156.88469287585457,616.5709640933702,1
134,31.68953,399.848379209236,225.06259809888974,601.8520706049027,1
135,45.56969,337.5879995486842,145.4192250173557,590.013882929496,1
136,35.253563,343.83202383729525,161.31776806094734,587.5849795278879,1
137,35.254917,339.69683982052453,161.60103596842097,597.9400586357091,1
138,34.60605,370.79661502526403,176.21885533304123,601.4122938541882,1
139,34.091103,358.65975162304784,185.21582820305986,590.6781649004189,1
140,33.94268,348.78601513140677,184.44564679184592,594.8870371900324,1
141,33.59192,368.4629337519198,193.8902163743634,598.1170671707666,1
142,34.785084,349.5133130752176,173.16220317810212,597.7231165973409,1
143,34.1581,335.4159733114431,184.67611066140603,599.1799195584597,1
144,34.744045,351.2090417714548,165.28303194839478,594.0906352046799,1
145,34.30009,356.2095378309497,171.36785331591827,605.767470915528,1
146,33.631775,345.278717989063,187.89186145975688,594.6968211734794,1
147,33.33659,343.911396745087,197.24294386832418,584.8796985359282,1
148,33.25522,379.6211192150929,195.33408593256036,602.3337353091312,1
149,35.110004,325.7075164852515,160.89893973375362,591.1774994448049,1
150,32.013947,385.59566824097453,217.13980038326363,593.7685789351524,1
151,33.776188,348.63587517917955,186.79528059990363,594.0824952750894,1
152,34.19543,337.5726088465609,190.24424634381052,601.1101877928575,1
153,33.508156,340.99546127181367,192.88570094725995,589.3204839391327,1
154,34.346516,350.09736071608756,181.28294032532563,593.1717016897938,1
155,33.45369,337.78296890120276,187.18057781189154,594.5709284605686,1
156,33.802265,367.44559989176014,180.32804493233047,591.4924992406441,1
157,33.559635,335.11102993310504,189.45957157314334,596.2583910092133,1
158,34.78277,345.02109629205984,177.28249345155032,603.5425638182492,1
159,33.695564,344.07944611058906,183.84223314699054,608.4651705861662,1
160,33.624676,350.364262918862,195.24460939923432,597.7440530285186,1
161,34.01886,358.41319053077757,179.09062318537644,596.2771999187505,1
162,34.198925,348.19597506094954,182.5264437216394,589.655536501399,1
163,33.915836,328.58525004743626,189.38655078946093,588.2238736444972,1
164,34.364616,354.48549869229316,173.01229346181034,604.8241168693288,1
165,33.05546,331.44110334468274,211.07524282407937,593.0608246739833,1
166,32.282463,305.30030279823325,221.4248793419585,589.0352592429041,1
167,31.80257,394.76005032498017,212.97827042062664,617.7641197638865,1
168,35.119614,331.1347382282592,160.1211183079942,600.9577989106964,1
169,33.283634,321.3129795807535,208.51159687892658,595.0262947753458,1
170,33.937607,367.7794468212944,187.81780384942763,591.1517382280904,1
171,34.102367,362.81703304992214,182.33681092219578,608.8796765248848,1
172,32.782402,392.17117144668197,204.96025836632472,598.396000891701,1
173,33.822212,341.65451883186853,186.54499183790375,596.7086055010914,1
174,33.336178,324.4551393180931,193.81991932456265,596.728469450484,1
175,34.342674,321.0345586718361,183.22810513735118,595.4275180702646,1
176,34.504208,349.9696352892364,176.21036807014755,597.407348923588,1
177,33.39732,331.84378088774037,197.61735542489274,589.7035897991004,1
178,34.484737,341.95025763192064,168.8388782685326,604.1283729729905,1
179,34.21443,317.8002120949726,190.81396461038923,594.3637501904806,1
